"","KO","Gene_identification","A","B","C","D","Target","Target_2","Category","GeneID","Full_GeneName","Notes"
"4950","K08745","SLC27A1_4, FATP1, FATP4; solute carrier family 27 (fatty acid transporter), member 1/4 [EC:6.2.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4951","K06171","NCSTN; nicastrin","Functional set","Environmental information processing","Cell signaling","Notch signaling",NA,NA,NA,NA,NA,NA
"4952","K00899","mtnK; 5-methylthioribose kinase [EC:2.7.1.100]","Pathway module","Nucleotide and amino acid metabolism","Cysteine and methionine metabolism","Methionine salvage pathway",NA,NA,NA,NA,NA,NA
"4953","K14303","NUP160, NUP120; nuclear pore complex protein Nup160","Structural complex","Genetic information processing","RNA processing","Nuclear pore complex",NA,NA,NA,NA,NA,NA
"4954","K01214","ISA, treX; isoamylase [EC:3.2.1.68]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4955","K03932","lpqC; polyhydroxybutyrate depolymerase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4956","K13193","RBM27; RNA-binding protein 27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4957","K02040","pstS; phosphate transport system substrate-binding protein","Structural complex","Environmental information processing","Phosphate and amino acid transport system","Phosphate transport system",NA,NA,NA,NA,NA,NA
"4958","K14800","TSR2; pre-rRNA-processing protein TSR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4959","K16680","ED; echinoid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4960","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Energy metabolism","Carbon fixation","Reductive citrate cycle (Arnon-Buchanan cycle)","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4961","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Energy metabolism","Carbon fixation","Reductive citrate cycle (Arnon-Buchanan cycle)","Energy Acquisition","TCA cycle","TCA cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4962","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle (TCA cycle, Krebs cycle)","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4963","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle (TCA cycle, Krebs cycle)","Energy Acquisition","TCA cycle","TCA cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4964","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4965","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Carbohydrate and lipid metabolism","Central carbohydrate metabolism","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","Energy Acquisition","TCA cycle","TCA cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4966","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Glyoxylate cycle","Energy Acquisition","Glyoxylate cycle","Glyoxylate cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4967","K01682","acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]","Pathway module","Carbohydrate and lipid metabolism","Other carbohydrate metabolism","Glyoxylate cycle","Energy Acquisition","TCA cycle","TCA cycle","acnB","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",""
"4968","K10765","ALKBH1; alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.- 4.2.99.18]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4969","K07523","LRRC4C, NGL1; netrin-G1 ligand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4970","K04655","hypE; hydrogenase expression/formation protein HypE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4971","K01489","cdd, CDA; cytidine deaminase [EC:3.5.4.5]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4972","K01514","PRUNE, PPX1; exopolyphosphatase [EC:3.6.1.11]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4973","K05387","GRIP; glutamate receptor, ionotropic, plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4974","K06255","HSPG2; heparan sulfate proteoglycan 2 (perlecan)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4975","K01627","kdsA; 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]","Pathway module","Carbohydrate and lipid metabolism","Lipopolysaccharide metabolism","CMP-KDO biosynthesis",NA,NA,NA,NA,NA,NA
"4976","K01974","RTCA, rtcA; RNA 3'-terminal phosphate cyclase (ATP) [EC:6.5.1.4]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4977","K13987","NUDT5; ADP-sugar pyrophosphatase / 8-oxo-dGDP phosphatase [EC:3.6.1.13 3.6.1.58 3.6.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4978","K05939","aas; acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]",NA,NA,NA,NA,"Phagotrophy","Fatty acid breakdown","Fatty acid breakdown","aas","acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]",""
"4979","K08486","STX1B_2_3; syntaxin 1B/2/3",NA,NA,NA,NA,"Phagotrophy","SNARE complex","SNARE complex","syntaxin 1B/2/3","syntaxin 1B/2/3",""
"4980","K07160","K07160; UPF0271 protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4981","K00790","murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4982","K00779","SIAT2, ST6GAL2; beta-galactoside alpha2,6-sialyltransferase (sialyltransferase 2) [EC:2.4.99.1]","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","N-glycan biosynthesis, complex type",NA,NA,NA,NA,NA,NA
"4983","K17493","CAMSAP; calmodulin-regulated spectrin-associated protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4984","K02048","cysP, sbp; sulfate transport system substrate-binding protein","Structural complex","Environmental information processing","Mineral and organic ion transport system","Sulfate transport system",NA,NA,NA,NA,NA,NA
"4985","K01470","E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4986","K08439","GPR161; G protein-coupled receptor 161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4987","K18897","sdmt; sarcosine/dimethylglycine N-methyltransferase [EC:2.1.1.157]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4988","K13164","MSL2; male-specific lethal 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4989","K05731","TIAM1; T-lymphoma invasion and metastasis-inducing protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4990","K01224","E3.2.1.89; arabinogalactan endo-1,4-beta-galactosidase [EC:3.2.1.89]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4991","K19306","BUD23; 18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4992","K19480","ANO5, GDD1, TMEM16E; anoctamin-5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4993","K08238","XXT; xyloglucan 6-xylosyltransferase [EC:2.4.2.39]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4994","K05712","mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]","Pathway module","Nucleotide and amino acid metabolism","Aromatic amino acid metabolism","Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA",NA,NA,NA,NA,NA,NA
"4995","K07375","TUBB; tubulin beta",NA,NA,NA,NA,"Phagotrophy","Phagosome associated","Phagosome maturation","tubulin beta","tubulin beta",""
"4996","K05690","CTNND1; catenin (cadherin-associated protein), delta 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4997","K05644","ABCA4; ATP-binding cassette, subfamily A (ABC1), member 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4998","K04559","HIP1; huntingtin interacting protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4999","K06047","TTL; tubulin---tyrosine ligase [EC:6.3.2.25]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5000","K02400","flhA; flagellar biosynthesis protein FlhA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5001","K07808","HS3ST2; [heparan sulfate]-glucosamine 3-sulfotransferase 2 [EC:2.8.2.29]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5002","K03792","SIAT10, ST3GAL6; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 10) [EC:2.4.99.10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5003","K19832","NOA1; nitric oxide-associated protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5004","K06013","STE24; STE24 endopeptidase [EC:3.4.24.84]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5005","K01050","BCHE; cholinesterase [EC:3.1.1.8]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5006","K03905","FGG; fibrinogen gamma chain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5007","K15789","TDH; threonine 3-dehydrogenase [EC:1.1.1.103]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5008","K00836","ectB, dat; diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]","Pathway module","Nucleotide and amino acid metabolism","Other amino acid metabolism","Ectoine biosynthesis, aspartate => ectoine",NA,NA,NA,NA,NA,NA
"5009","K08031","PAX6; paired box protein 6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5010","K16473","IFT20; intraflagellar transport protein 20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5011","K02535","lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]","Pathway module","Carbohydrate and lipid metabolism","Lipopolysaccharide metabolism","Lipopolysaccharide biosynthesis, KDO2-lipid A",NA,NA,NA,NA,NA,NA
"5012","K04861","CACNA2D4; voltage-dependent calcium channel alpha-2/delta-4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5013","K03314","nhaB; Na+:H+ antiporter, NhaB family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5014","K06462","ITGAX, CD11c; integrin alpha X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5015","K08193","SLC17A; MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5016","K09532","DNAJC12; DnaJ homolog subfamily C member 12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5017","K18010","HCAR; 7-hydroxymethyl chlorophyll a reductase [EC:1.17.7.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5018","K07556","ATPeAF2, ATPAF2, ATP12; ATP synthase mitochondrial F1 complex assembly factor 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5019","K11165","DHRS7; dehydrogenase/reductase SDR family member 7 [EC:1.1.-.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5020","K04860","CACNA2D3; voltage-dependent calcium channel alpha-2/delta-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5021","K14545","RRP7; ribosomal RNA-processing protein 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5022","K10695","RNF1_2; E3 ubiquitin-protein ligase RNF1/2 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5023","K04858","CACNA2D1; voltage-dependent calcium channel alpha-2/delta-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5024","K00387","SUOX; sulfite oxidase [EC:1.8.3.1]",NA,NA,NA,NA,"Nutrient processing","Inorganic N uptake and assimilation","Inorganic N uptake and assimilation","SUOX","sulfite oxidase",""
"5025","K09022","ridA, tdcF; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5026","K10638","UHRF1, NP95; E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5027","K03316","TC.CPA1; monovalent cation:H+ antiporter, CPA1 family",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5028","K02503","HINT1, hinT, hit; histidine triad (HIT) family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5029","K16755","CCDC61; coiled-coil domain-containing protein 61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5030","K04566","lysK; lysyl-tRNA synthetase, class I [EC:6.1.1.6]","Functional set","Metabolism","Aminoacyl tRNA","Aminoacyl-tRNA biosynthesis, prokaryotes",NA,NA,NA,NA,NA,NA
"5031","K09478","ACADSB; short/branched chain acyl-CoA dehydrogenase [EC:1.3.99.12]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5032","K01091","gph; phosphoglycolate phosphatase [EC:3.1.3.18]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5033","K12591","RRP6, EXOSC10; exosome complex exonuclease RRP6 [EC:3.1.13.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5034","K12615","EDC3; enhancer of mRNA-decapping protein 3","Structural complex","Genetic information processing","RNA processing","Decapping complex",NA,NA,NA,NA,NA,NA
"5035","K11445","KDM7A, JHDM1D; lysine-specific demethylase 7A [EC:1.14.11.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5036","K02564","nagB, GNPDA; glucosamine-6-phosphate deaminase [EC:3.5.99.6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5037","K17403","MRPS24; small subunit ribosomal protein S24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5038","K02190","cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5039","K08905","psaG; photosystem I subunit V",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5040","K01356","lexA; repressor LexA [EC:3.4.21.88]","Functional set","Environmental information processing","Drug resistance","Fluoroquinolone resistance, gyrase-protecting protein Qnr",NA,NA,NA,NA,NA,NA
"5041","K05791","terZ; tellurium resistance protein TerZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5042","K02374","PTPN13, FAP-1; tyrosine-protein phosphatase non-receptor type 13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5043","K15438","AIMP2; aminoacyl tRNA synthase complex-interacting multifunctional protein 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5044","K06249","RELN; reelin [EC:3.4.21.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5045","K15544","SSU72; RNA polymerase II subunit A C-terminal domain phosphatase SSU72 [EC:3.1.3.16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5046","K09874","NIP; aquaporin NIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5047","K00649","GNPAT; glyceronephosphate O-acyltransferase [EC:2.3.1.42]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5048","K18819","GOLS; inositol 3-alpha-galactosyltransferase [EC:2.4.1.123]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5049","K10276","FBXL10_11, KDM2; F-box and leucine-rich repeat protein 10/11 [EC:1.14.11.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5050","K13956","IPP, KLHL27; actin-binding protein IPP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5051","K13617","PPME1; protein phosphatase methylesterase 1 [EC:3.1.1.89]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5052","K12878","THOC1; THO complex subunit 1","Structural complex","Genetic information processing","RNA processing","THC complex",NA,NA,NA,NA,NA,NA
"5053","K12878","THOC1; THO complex subunit 1","Structural complex","Genetic information processing","RNA processing","TREX complex",NA,NA,NA,NA,NA,NA
"5054","K18162","NDUFAF5; NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 5 [EC:2.1.1.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5055","K10435","MAP1LC; microtubule-associated protein 1 light chain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5056","K01621","xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5057","K06041","kdsD, kpsF; arabinose-5-phosphate isomerase [EC:5.3.1.13]","Pathway module","Carbohydrate and lipid metabolism","Lipopolysaccharide metabolism","CMP-KDO biosynthesis",NA,NA,NA,NA,NA,NA
"5058","K05036","SLC6A3; solute carrier family 6 (neurotransmitter transporter, dopamine) member 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5059","K04725","XIAP, BIRC4; E3 ubiquitin-protein ligase XIAP [EC:2.3.2.27]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5060","K15170","MED27; mediator of RNA polymerase II transcription subunit 27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5061","K04804","CHRNA2; nicotinic acetylcholine receptor alpha-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5062","K03938","NDUFS5; NADH dehydrogenase (ubiquinone) Fe-S protein 5","Structural complex","Energy metabolism","ATP synthesis","NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria",NA,NA,NA,NA,NA,NA
"5063","K02160","accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein","Pathway module","Energy metabolism","Carbon fixation","3-Hydroxypropionate bi-cycle","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","accB, bccP","acetyl-CoA carboxylase biotin carboxyl carrier protein",""
"5064","K02160","accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein","Pathway module","Carbohydrate and lipid metabolism","Fatty acid metabolism","Fatty acid biosynthesis, initiation","Phagotrophy","Fatty acid biosynthesis","Fatty acid biosynthesis","accB, bccP","acetyl-CoA carboxylase biotin carboxyl carrier protein",""
"5065","K00941","thiD; hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]","Pathway module","Nucleotide and amino acid metabolism","Cofactor and vitamin biosynthesis","Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P",NA,NA,NA,NA,NA,NA
"5066","K16686","SAV1, Sav; scaffold protein salvador","Functional set","Environmental information processing","Cell signaling","Hippo signaling",NA,NA,NA,NA,NA,NA
"5067","K12388","SORT1; sortilin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5068","K08959","CSNK1D; casein kinase 1, delta [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5069","K05931","CARM1, PRMT4; type I protein arginine methyltransferase [EC:2.1.1.319]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5070","K05725","PTK2, FAK; focal adhesion kinase 1 [EC:2.7.10.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5071","K01276","DPP7; dipeptidyl-peptidase II [EC:3.4.14.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5072","K19703","FA2H, SCS7; 4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase [EC:1.14.18.6]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5073","K06178","rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5074","K13577","SLC25A10, DIC; solute carrier family 25 (mitochondrial dicarboxylate transporter), member 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5075","K02714","psbM; photosystem II PsbM protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5076","K00907","MYLK; myosin-light-chain kinase [EC:2.7.11.18]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5077","K17599","TMEM132; transmembrane protein 132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5078","K02601","nusG; transcriptional antiterminator NusG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5079","K01814","hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]","Pathway module","Nucleotide and amino acid metabolism","Histidine metabolism","Histidine biosynthesis, PRPP => histidine",NA,NA,NA,NA,NA,NA
"5080","K14785","ESF2, ABT1; ESF2/ABP1 family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5081","K15746","crtZ; beta-carotene 3-hydroxylase [EC:1.14.13.129]","Pathway module","Carbohydrate and lipid metabolism","Other terpenoid biosynthesis","Abscisic acid biosynthesis, beta-carotene => abscisic acid",NA,NA,NA,NA,NA,NA
"5082","K03809","wrbA; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5083","K12896","SFRS7; splicing factor, arginine/serine-rich 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5084","K09026","NPAS2; neuronal PAS domain-containing protein 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5085","K02296","ARNTL, BMAL1, CYC; aryl hydrocarbon receptor nuclear translocator-like protein 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5086","K13175","THOC6; THO complex subunit 6","Structural complex","Genetic information processing","RNA processing","THC complex",NA,NA,NA,NA,NA,NA
"5087","K13175","THOC6; THO complex subunit 6","Structural complex","Genetic information processing","RNA processing","TREX complex",NA,NA,NA,NA,NA,NA
"5088","K05760","PXN; paxillin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5089","K09219","SCRT; scratch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5090","K02256","COX1; cytochrome c oxidase subunit 1 [EC:1.9.3.1]","Structural complex","Energy metabolism","ATP synthesis","Cytochrome c oxidase",NA,NA,NA,NA,NA,NA
"5091","K08665","HPN; hepsin [EC:3.4.21.106]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5092","K17785","IMMT, FCJ1, MNOS2; mitofilin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5093","K14560","IMP3; U3 small nucleolar ribonucleoprotein protein IMP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5094","K11265","ADCY10; adenylate cyclase 10 [EC:4.6.1.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5095","K11128","GAR1, NOLA1; H/ACA ribonucleoprotein complex subunit 1","Structural complex","Genetic information processing","RNA processing","H/ACA ribonucleoprotein complex",NA,NA,NA,NA,NA,NA
"5096","K09775","K09775; uncharacterized protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5097","K18025","PTPN14_21; tyrosine-protein phosphatase non-receptor type 14/21 [EC:3.1.3.48]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5098","K05613","SLC1A2, EAAT2; solute carrier family 1 (glial high affinity glutamate transporter), member 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5099","K10134","EI24; etoposide-induced 2.4 mRNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5100","K07605","KRT2; type II keratin, basic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5101","K09552","SPG7; spastic paraplegia 7 [EC:3.4.24.-]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5102","K18999","CPL3_4; RNA polymerase II C-terminal domain phosphatase-like 3/4 [EC:3.1.3.16]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5103","K07905","RAB11B; Ras-related protein Rab-11B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5104","K02878","RP-L16, MRPL16, rplP; large subunit ribosomal protein L16","Structural complex","Genetic information processing","Ribosome","Ribosome, bacteria",NA,NA,NA,NA,NA,NA
"5105","K05283","PIGW; phosphatidylinositol glycan, class W [EC:2.3.-.-]","Pathway module","Carbohydrate and lipid metabolism","Glycan metabolism","GPI-anchor biosynthesis, core oligosaccharide","Phagotrophy-other","other","phosphatidylinositol","PIGW","phosphatidylinositol glycan, class W [EC:2.3.-.-]",""
"5106","K14395","ACP6; lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5107","K00479","K00479; Rieske 2Fe-2S family protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5108","K09047","CREB5, CREBPA; cyclic AMP-responsive element-binding protein 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5109","K08508","SNAP23; synaptosomal-associated protein 23",NA,NA,NA,NA,"Phagotrophy","SNARE complex","SNARE complex","synaptosomal-associated protein 23","synaptosomal-associated protein 23",""
"5110","K08851","TP53RK, PRPK, BUD32; TP53 regulating kinase and related kinases [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5111","K07928","RAB40; Ras-related protein Rab-40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5112","K10426","DCTN4; dynactin 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5113","K10158","B3GAT3; galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 [EC:2.4.1.135]","Pathway module","Carbohydrate and lipid metabolism","Glycosaminoglycan metabolism","Glycosaminoglycan biosynthesis, linkage tetrasaccharide",NA,NA,NA,NA,NA,NA
"5114","K08958","CSNK1G; casein kinase 1, gamma [EC:2.7.11.1]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5115","K12841","CHERP; calcium homeostasis endoplasmic reticulum protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5116","K12844","PRPF31; U4/U6 small nuclear ribonucleoprotein PRP31","Structural complex","Genetic information processing","Spliceosome","Spliceosome, U4/U6.U5 tri-snRNP",NA,NA,NA,NA,NA,NA
